gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|09679,22.0946,-6.7789,0.7747,-8.7503,2.127e-18,9.53e-18,---NA---
1104|09680,117.3379,-2.8511,0.1628,-17.5176,1.052e-68,1.614e-67,wd domain-containing protein
1104|09682,86.1169,5.369,0.3602,14.9042,3.096e-50,3.439e-49,---NA---
1104|09683,2.8857,-0.2896,2.8465,-0.1017,0.919,0.9353,hypothetical protein CGGC5_10728
1104|09684,30.4879,0.0788,0.2336,0.3372,0.7359,0.7807,c2h2 transcription factor
1104|09685,138.041,-1.4982,0.1457,-10.2834,8.371e-25,4.763e-24,rapid response to glucose protein
1104|09686,4.0378,6.4704,2.0508,3.155,0.001605,0.002774,isopenicillin n
1104|09687,10.1857,-5.0937,1.5494,-3.2874,0.001011,0.001785,hypothetical protein CGGC5_10720
1104|09688,21.7041,6.3379,1.4475,4.3785,1.195e-05,2.575e-05,kelch domain-containing protein
1104|09689,1.9949,-1.3033,1.038,-1.2556,0.2093,0.2541,methyltransferase domain-containing protein
1104|09692,129.3699,-0.5912,0.1603,-3.689,0.0002251,0.0004297,hypothetical protein CGGC5_10718
1104|09693,97.3839,0.0787,0.2273,0.3462,0.7292,0.7747,---NA---
1104|09694,1.9589,-5.6935,2.0986,-2.713,0.006667,0.01064,---NA---
1104|09697,14.5062,-2.3423,0.3415,-6.8591,6.928e-12,2.276e-11,ubiquitin-protein ligase sel1
1104|09698,0.5445,-1.3189,1.791,-0.7364,0.4615,0.5176,histone deacetylase interacting
1104|09699,2.8324,-2.2711,0.8477,-2.679,0.007384,0.01171,hypothetical protein CGGC5_11732
1104|09701,78.3918,-1.205,0.2148,-5.609,2.035e-08,5.357e-08,lipase regulator 1
1104|09702,120.6201,3.4345,0.2164,15.8695,1.031e-56,1.289e-55,elongation factor tu gtp binding domain-containing protein
1104|09703,36.5914,9.0699,1.9642,4.6176,3.882e-06,8.73e-06,---NA---
1104|09704,238.792,1.164,0.1666,6.9867,2.815e-12,9.479e-12,frg1-like family protein
1104|09705,0.619,4.2867,3.0481,1.4063,0.1596,0.1993,ring-8 protein
1104|09706,138.0391,-2.6646,0.1998,-13.3345,1.458e-40,1.299e-39,uracil-dna glycosylase
1104|09707,98.8382,2.1398,0.24,8.9167,4.804e-19,2.206e-18,morphogenesis protein
1104|09708,583.9687,-5.4067,0.1928,-28.0389,5.453e-173,3.463e-171,hypothetical protein CGLO_14219
1104|09709,566.3578,-2.8021,0.1147,-24.439,6.582e-132,2.556e-130,zn 2cys6 transcription factor
1104|09711,376.1727,2.7465,0.2321,11.8315,2.684e-32,1.91e-31,n1-acetylpolyamine oxidase
1104|09712,8.2101,6.3576,1.996,3.1851,0.001447,0.002516,phosphotransferase enzyme family protein
1104|09713,5.4287,-5.1266,0.9353,-5.4813,4.221e-08,1.087e-07,pectate lyase
1104|09714,4.3546,0.6032,1.872,0.3222,0.7473,0.791,histone deacetylase interacting
1104|09715,79.4978,1.122,0.2735,4.1022,4.092e-05,8.415e-05,short-chain oxidoreductase
1104|09716,9.5276,-0.2896,2.771,-0.1045,0.9168,0.9352,rhamnogalacturonase b
1104|09717,63.5765,-2.0337,0.2454,-8.287,1.161e-16,4.852e-16,fungal specific transcription factor domain-containing protein
1104|09718,6.7596,2.9167,0.8476,3.4412,0.0005792,0.001052,ibr domain-containing protein
1104|09719,38.2239,-0.872,1.3467,-0.6475,0.5173,0.5716,---NA---
1104|09720,40.5703,-0.2896,2.7463,-0.1054,0.916,0.9352,aaa family atpase protein
1104|09721,13.4301,-0.549,0.3397,-1.6162,0.106,0.1379,nima-related kinase 5
1104|09722,92.9715,-0.634,0.2603,-2.4352,0.01488,0.02251,hypothetical protein CGGC5_13173
1104|09724,73.1535,-0.4783,0.21,-2.2777,0.02274,0.03344,rna polymerase ii mediator complex component med8
