gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|10384,150.2215,-1.3283,0.1341,-9.9057,3.932e-23,2.502e-22,micro-fibrillar-associated protein 1
1104|10385,141.3263,0.6116,0.1663,3.6779,0.0002351,0.0004942,ornithine decarboxylase
1104|10386,333.5248,-2.9606,0.1747,-16.9493,1.948e-64,3.369e-63,---NA---
1104|10387,8.355,-2.2722,0.477,-4.7635,1.903e-06,4.935e-06,hypothetical protein CGGC5_15286
1104|10388,66.0529,-0.9308,0.2395,-3.8864,0.0001017,0.0002226,hypothetical protein CGGC5_12541
1104|10390,23756.4823,-6.5016,0.1855,-35.0506,3.819e-269,6.05e-267,hypothetical protein CGGC5_5803
1104|10391,116.1432,2.1371,0.2091,10.2203,1.608e-24,1.081e-23,transcription regulator
1104|10392,124.8944,-0.8987,0.1467,-6.1264,8.99e-10,3.003e-09,rna polymerase iii transcription factor
1104|10393,23.3139,0.8725,0.3386,2.5769,0.009968,0.01683,phosphatidylinositol-specific phospholipase c
1104|10394,27.1524,0.6742,0.2579,2.6147,0.008932,0.01521,hypothetical protein CGGC5_12537
1104|10395,1345.7297,-4.8059,0.2392,-20.0927,8.545e-90,2.239e-88,---NA---
1104|10396,26.381,-0.61,0.2853,-2.1379,0.03253,0.05035,hypothetical protein CGLO_14042
1104|10397,87.2317,-1.2235,0.1892,-6.4667,1.002e-10,3.566e-10,"hypothetical protein CGGC5_12530, partial"
1104|10398,0.6244,0.1056,2.3612,0.0447,0.9643,0.9698,triose-phosphate transporter
1104|10399,50.4926,-0.2379,0.2308,-1.0308,0.3026,0.3717,ubiquitin carboxyl-terminal hydrolase
1104|10400,253.8521,0.8126,0.1859,4.3704,1.24e-05,2.99e-05,hypothetical protein CGGC5_12535
1104|10401,60.4346,-1.7986,0.2181,-8.248,1.611e-16,7.824e-16,2-nitropropane dioxygenase
1104|10402,14.8446,1.9524,0.51,3.8282,0.0001291,0.0002792,glycosyltransferase family 17
1104|10403,8.0887,-0.594,0.5261,-1.129,0.2589,0.3235,muscle-derived protein (neurite-outgrowth-promoting)
1104|10404,192.4317,6.2162,0.2979,20.8667,1.075e-96,3.138e-95,amino acid transporter
1104|10405,1347.7972,2.2331,0.1358,16.4487,8.567e-61,1.39e-59,protein phosphatase 2a regulatory b subunit
1104|10406,122.509,1.5059,0.2905,5.1846,2.165e-07,6.094e-07,mitochondrial chaperone bcs1
1104|10407,28.3074,1.518,0.2875,5.2797,1.294e-07,3.708e-07,endonuclease exonuclease phosphatase
1104|10408,281.5172,-0.858,0.1405,-6.107,1.015e-09,3.378e-09,dna polymerase alpha epsilon subunit b
1104|10409,804.8449,-2.8882,0.113,-25.5528,5.111e-144,2.761e-142,c2h2 finger domain-containing protein
1104|10410,94.3861,-0.4557,0.1558,-2.924,0.003455,0.006281,---NA---
1104|10411,11.4032,1.6219,0.5376,3.0168,0.002555,0.004729,---NA---
1104|10412,224.0484,-1.8095,0.1784,-10.1405,3.651e-24,2.419e-23,hypothetical protein CGLO_13332
1104|10413,4098.4084,3.1893,0.2023,15.7644,5.467e-56,8.045e-55,atp-dependent rna helicase ddx18 partial
1104|10414,49.4246,0.947,0.3495,2.7092,0.006744,0.01174,---NA---
1104|10415,34.7752,-1.3126,0.2194,-5.9833,2.187e-09,7.137e-09,abc transporter
1104|10416,162.7936,0.6315,0.2114,2.9876,0.002812,0.00517,peptidase family m48
