sample,mate,trimLeft,truncLen,maxEE,final_read_len,reads_in,reads_out,pct_kept
APP3,2,10,150,2.0,140,100000,89456,89.46
APP3,2,10,150,5.0,140,100000,96928,96.93
CIH1,1,0,100,1.0,100,100000,94891,94.89
CIH1,1,0,100,2.0,100,100000,97948,97.95
CIH1,1,0,100,5.0,100,100000,99798,99.8
CIH1,1,0,125,1.0,125,100000,92668,92.67
CIH1,1,0,125,2.0,125,100000,96563,96.56
CIH1,1,0,125,5.0,125,100000,99210,99.21
CIH1,1,0,150,1.0,150,100000,89843,89.84
CIH1,1,0,150,2.0,150,100000,94906,94.91
CIH1,1,0,150,5.0,150,100000,98513,98.51
CIH1,1,10,100,1.0,90,100000,95076,95.08
CIH1,1,10,100,2.0,90,100000,98009,98.01
CIH1,1,10,100,5.0,90,100000,99803,99.8
CIH1,1,10,125,1.0,115,100000,92857,92.86
CIH1,1,10,125,2.0,115,100000,96659,96.66
CIH1,1,10,125,5.0,115,100000,99220,99.22
CIH1,1,10,150,1.0,140,100000,90043,90.04
CIH1,1,10,150,2.0,140,100000,95005,95.0
CIH1,1,10,150,5.0,140,100000,98526,98.53
CIH1,2,0,100,1.0,100,100000,91246,91.25
CIH1,2,0,100,2.0,100,100000,95744,95.74
CIH1,2,0,100,5.0,100,100000,99478,99.48
CIH1,2,0,125,1.0,125,100000,87961,87.96
CIH1,2,0,125,2.0,125,100000,93457,93.46
CIH1,2,0,125,5.0,125,100000,98634,98.63
CIH1,2,0,150,1.0,150,100000,83576,83.58
CIH1,2,0,150,2.0,150,100000,90376,90.38
CIH1,2,0,150,5.0,150,100000,97302,97.3
CIH1,2,10,100,1.0,90,100000,91768,91.77
CIH1,2,10,100,2.0,90,100000,96080,96.08
CIH1,2,10,100,5.0,90,100000,99551,99.55
CIH1,2,10,125,1.0,115,100000,88485,88.48
CIH1,2,10,125,2.0,115,100000,93754,93.75
CIH1,2,10,125,5.0,115,100000,98737,98.74
CIH1,2,10,150,1.0,140,100000,84032,84.03
CIH1,2,10,150,2.0,140,100000,90679,90.68
CIH1,2,10,150,5.0,140,100000,97441,97.44
CIH2,1,0,100,1.0,100,100000,94512,94.51
CIH2,1,0,100,2.0,100,100000,97668,97.67
CIH2,1,0,100,5.0,100,100000,99716,99.72
CIH2,1,0,125,1.0,125,100000,92235,92.24
CIH2,1,0,125,2.0,125,100000,96281,96.28
CIH2,1,0,125,5.0,125,100000,99014,99.01
CIH2,1,0,150,1.0,150,100000,89470,89.47
