gene,CON1,CON2,CON3,APP1,APP2,APP3,CIH1,CIH2,CIH3,IL1,IL2,IL3
1104|11065,474,619,606,177,238,217,105,134,124,27,63,44
1104|11066,0,0,0,1,0,1,0,0,1,0,0,0
1104|11067,2,2,0,3,2,4,0,2,0,0,0,0
1104|11068,114,158,148,482,459,420,469,412,869,7,41,14
1104|11069,26,32,26,54,43,62,56,34,139,8,13,7
1104|11070,0,0,1,3,8,2,5,8,4,0,0,1
1104|11071,0,2,0,0,0,0,0,1,0,0,0,0
1104|11072,105,132,164,231,312,296,86,119,104,10,30,9
1104|11073,203,229,287,98,91,107,31,33,61,22,34,28
1104|11074,23,37,44,29,36,30,15,23,33,0,10,0
1104|11075,43,60,64,177,164,174,146,213,189,8,17,5
1104|11076,18,28,24,83,87,104,43,84,81,4,12,5
1104|11077,52,55,93,223,225,239,147,170,227,5,11,10
1104|11078,7,8,9,16,17,25,7,14,14,49,56,23
1104|11079,1188,1357,1609,458,722,742,171,229,156,18,61,32
1104|11080,198,215,249,164,205,200,105,98,144,12,30,16
1104|11081,156,163,193,700,840,743,785,824,900,11,44,14
1104|11082,163,203,226,153,219,185,97,146,150,9,18,11
1104|11083,5,2,11,17,19,15,15,23,43,0,1,1
1104|11084,68,86,111,280,368,290,327,422,357,4,24,8
1104|11085,260,321,350,380,330,381,349,393,788,10,50,29
1104|11086,216,223,294,515,596,761,378,540,352,26,110,65
1104|11087,5,2,3,31,33,28,14,11,12,0,0,3
1104|11088,133,190,208,315,434,310,254,252,211,16,63,19
1104|11089,0,0,0,0,0,0,0,1,0,0,0,1
1104|11090,84,100,107,165,176,167,131,98,110,5,9,8
1104|11091,83,112,125,214,282,295,127,175,125,17,44,32
1104|11092,9,22,25,36,46,57,107,162,315,1,1,5
1104|11093,1,3,5,26,24,33,73,68,141,1,2,0
1104|11094,109,131,145,73,104,88,73,80,90,3,12,8
1104|11095,50,59,94,107,212,167,100,164,91,2,15,6
1104|11096,14,23,16,253,361,359,141,229,133,2,12,8
1104|11097,16,12,22,64,90,71,96,84,69,2,10,10
