term_id,term_name,gene
FS001,Major facilitator superfamily transporter,1104|04771
FS001,Major facilitator superfamily transporter,1104|04818
FS001,Major facilitator superfamily transporter,1104|04863
FS001,Major facilitator superfamily transporter,1104|04876
FS001,Major facilitator superfamily transporter,1104|04919
FS001,Major facilitator superfamily transporter,1104|04921
FS001,Major facilitator superfamily transporter,1104|04941
FS001,Major facilitator superfamily transporter,1104|04942
FS001,Major facilitator superfamily transporter,1104|04986
FS001,Major facilitator superfamily transporter,1104|04987
FS001,Major facilitator superfamily transporter,1104|04995
FS001,Major facilitator superfamily transporter,1104|05000
FS001,Major facilitator superfamily transporter,1104|05045
FS001,Major facilitator superfamily transporter,1104|05049
FS001,Major facilitator superfamily transporter,1104|05071
FS001,Major facilitator superfamily transporter,1104|05075
FS001,Major facilitator superfamily transporter,1104|05133
FS001,Major facilitator superfamily transporter,1104|05149
FS001,Major facilitator superfamily transporter,1104|05215
FS001,Major facilitator superfamily transporter,1104|05221
FS001,Major facilitator superfamily transporter,1104|05257
FS001,Major facilitator superfamily transporter,1104|05283
FS001,Major facilitator superfamily transporter,1104|05403
FS001,Major facilitator superfamily transporter,1104|05412
FS001,Major facilitator superfamily transporter,1104|05422
FS001,Major facilitator superfamily transporter,1104|05428
FS001,Major facilitator superfamily transporter,1104|05506
FS001,Major facilitator superfamily transporter,1104|05519
FS001,Major facilitator superfamily transporter,1104|05576
FS001,Major facilitator superfamily transporter,1104|05652
FS001,Major facilitator superfamily transporter,1104|05719
FS001,Major facilitator superfamily transporter,1104|05726
FS001,Major facilitator superfamily transporter,1104|05791
FS001,Major facilitator superfamily transporter,1104|05941
FS001,Major facilitator superfamily transporter,1104|05989
FS001,Major facilitator superfamily transporter,1104|06014
FS001,Major facilitator superfamily transporter,1104|06016
FS001,Major facilitator superfamily transporter,1104|06062
FS001,Major facilitator superfamily transporter,1104|06064
FS001,Major facilitator superfamily transporter,1104|06157
FS001,Major facilitator superfamily transporter,1104|06248
FS001,Major facilitator superfamily transporter,1104|06255
FS001,Major facilitator superfamily transporter,1104|06271
FS001,Major facilitator superfamily transporter,1104|06309
FS001,Major facilitator superfamily transporter,1104|06313
FS001,Major facilitator superfamily transporter,1104|06318
FS001,Major facilitator superfamily transporter,1104|06334
FS001,Major facilitator superfamily transporter,1104|06416
FS001,Major facilitator superfamily transporter,1104|06417
FS001,Major facilitator superfamily transporter,1104|06445
FS001,Major facilitator superfamily transporter,1104|06470
FS001,Major facilitator superfamily transporter,1104|06501
FS001,Major facilitator superfamily transporter,1104|06534
FS001,Major facilitator superfamily transporter,1104|06541
FS001,Major facilitator superfamily transporter,1104|06560
FS001,Major facilitator superfamily transporter,1104|06579
FS001,Major facilitator superfamily transporter,1104|06620
FS001,Major facilitator superfamily transporter,1104|06635
FS001,Major facilitator superfamily transporter,1104|06689
FS001,Major facilitator superfamily transporter,1104|06762
FS001,Major facilitator superfamily transporter,1104|06794
FS001,Major facilitator superfamily transporter,1104|06799
FS001,Major facilitator superfamily transporter,1104|06824
FS001,Major facilitator superfamily transporter,1104|06826
FS001,Major facilitator superfamily transporter,1104|06827
FS001,Major facilitator superfamily transporter,1104|06908
FS001,Major facilitator superfamily transporter,1104|06930
FS001,Major facilitator superfamily transporter,1104|06947
FS001,Major facilitator superfamily transporter,1104|06987
FS001,Major facilitator superfamily transporter,1104|07005
FS001,Major facilitator superfamily transporter,1104|07019
FS001,Major facilitator superfamily transporter,1104|07026
FS001,Major facilitator superfamily transporter,1104|07030
FS001,Major facilitator superfamily transporter,1104|07065
FS001,Major facilitator superfamily transporter,1104|07084
FS001,Major facilitator superfamily transporter,1104|07105
FS001,Major facilitator superfamily transporter,1104|07130
FS001,Major facilitator superfamily transporter,1104|07140
FS001,Major facilitator superfamily transporter,1104|07202
FS001,Major facilitator superfamily transporter,1104|07214
FS001,Major facilitator superfamily transporter,1104|07246
FS001,Major facilitator superfamily transporter,1104|07273
FS001,Major facilitator superfamily transporter,1104|07274
FS001,Major facilitator superfamily transporter,1104|07285
FS001,Major facilitator superfamily transporter,1104|07319
FS001,Major facilitator superfamily transporter,1104|07329
FS001,Major facilitator superfamily transporter,1104|07432
FS001,Major facilitator superfamily transporter,1104|07453
FS001,Major facilitator superfamily transporter,1104|07475
FS001,Major facilitator superfamily transporter,1104|07580
FS001,Major facilitator superfamily transporter,1104|07689
FS001,Major facilitator superfamily transporter,1104|07702
FS001,Major facilitator superfamily transporter,1104|07707
FS001,Major facilitator superfamily transporter,1104|07740
FS001,Major facilitator superfamily transporter,1104|07776
FS001,Major facilitator superfamily transporter,1104|07852
FS001,Major facilitator superfamily transporter,1104|07859
FS001,Major facilitator superfamily transporter,1104|07860
FS001,Major facilitator superfamily transporter,1104|07881
FS001,Major facilitator superfamily transporter,1104|08001
FS001,Major facilitator superfamily transporter,1104|08091
FS001,Major facilitator superfamily transporter,1104|08146
FS001,Major facilitator superfamily transporter,1104|08150
FS001,Major facilitator superfamily transporter,1104|08154
FS001,Major facilitator superfamily transporter,1104|08157
FS001,Major facilitator superfamily transporter,1104|08205
FS001,Major facilitator superfamily transporter,1104|08214
FS001,Major facilitator superfamily transporter,1104|08218
FS001,Major facilitator superfamily transporter,1104|08219
FS001,Major facilitator superfamily transporter,1104|08226
FS001,Major facilitator superfamily transporter,1104|08232
FS001,Major facilitator superfamily transporter,1104|08242
FS001,Major facilitator superfamily transporter,1104|08300
FS001,Major facilitator superfamily transporter,1104|08306
FS001,Major facilitator superfamily transporter,1104|08325
FS001,Major facilitator superfamily transporter,1104|08336
FS001,Major facilitator superfamily transporter,1104|08379
FS001,Major facilitator superfamily transporter,1104|08430
